"id","habit_id","streak_completed_at","streak_count"
1,1,2024-11-01T08:00:00+01:00,1
2,1,2024-11-02T08:15:00+01:00,2
3,1,2024-11-03T08:30:00+01:00,3
4,1,2024-11-04T08:00:00+01:00,4
5,1,2024-11-05T08:10:00+01:00,5
6,1,2024-11-06T08:20:00+01:00,6
7,1,2024-11-07T08:00:00+01:00,7
8,1,2024-11-08T08:00:00+01:00,8
9,1,2024-11-09T08:05:00+01:00,9
10,1,2024-11-10T08:10:00+01:00,10
11,1,2024-11-11T08:00:00+01:00,11
12,1,2024-11-12T08:00:00+01:00,12
13,1,2024-11-13T08:15:00+01:00,13
14,1,2024-11-14T08:00:00+01:00,14
15,1,2024-11-15T08:05:00+01:00,15
16,1,2024-11-16T08:00:00+01:00,16
17,1,2024-11-17T08:10:00+01:00,17
18,1,2024-11-18T08:00:00+01:00,18
19,1,2024-11-19T08:10:00+01:00,19
20,1,2024-11-20T08:00:00+01:00,20
21,1,2024-11-21T08:00:00+01:00,21
22,1,2024-11-22T08:00:00+01:00,22
23,1,2024-11-23T08:00:00+01:00,23
24,1,2024-11-24T08:10:00+01:00,24
25,1,2024-11-25T08:05:00+01:00,25
26,1,2024-11-26T08:00:00+01:00,26
27,1,2024-11-27T08:00:00+01:00,27
28,1,2024-11-28T08:15:00+01:00,28
29,1,2024-11-29T08:00:00+01:00,29
30,1,2024-11-30T08:00:00+01:00,30
31,2,2024-11-01T07:30:00+01:00,1
32,2,2024-11-02T07:35:00+01:00,2
33,2,2024-11-03T07:40:00+01:00,3
34,2,2024-11-04T07:30:00+01:00,4
35,2,2024-11-05T07:40:00+01:00,5
36,2,2024-11-06T07:45:00+01:00,6
37,2,2024-11-07T07:30:00+01:00,7
38,2,2024-11-08T07:30:00+01:00,8
39,2,2024-11-09T07:35:00+01:00,9
40,2,2024-11-10T07:40:00+01:00,10
41,2,2024-11-11T07:30:00+01:00,11
42,2,2024-11-12T07:30:00+01:00,12
43,2,2024-11-13T07:40:00+01:00,13
44,2,2024-11-14T07:30:00+01:00,14
45,2,2024-11-15T07:35:00+01:00,15
46,2,2024-11-16T07:30:00+01:00,16
47,2,2024-11-17T07:40:00+01:00,17
